group	names	scores	logfoldchanges	pvals	pvals_adj
36	MTTP	0.12266069		0.9023757941951771	0.9998095082390452
36	CLRN1-AS1	0.12266069		0.9023757941951771	0.9998095082390452
36	AL138731.1	0.11980827		0.9046350298068951	0.9998095082390452
36	AC099518.1	0.107447796		0.9144337411860121	0.9998095082390452
36	AC023794.3	0.10459537		0.9166968855131705	0.9998095082390452
36	CARNS1	0.095090665		0.924242810888504	0.9998095082390452
37	GRIA2	27.548952		4.5550671548075925e-167	9.110134309615185e-164
37	ASCL1	19.136595		1.2519143330402808e-81	1.2519143330402807e-78
37	FTL	10.444593		1.5511928908216467e-25	1.0341285938810978e-22
37	HAMP	7.991262		1.3356447598448538e-15	6.678223799224269e-13
37	CST9	2.8291047		0.004667842222568033	0.9998886250982321
37	APOC1	1.3594092		0.17401694293487335	0.9998886250982321
37	SERPINA6	1.3184079		0.1873671373895579	0.9998886250982321
37	CADM2	1.15683		0.24734182833174023	0.9998886250982321
37	ART4	0.9983996		0.3180856257509993	0.9998886250982321
37	MYT1	0.8771149		0.38042424273036046	0.9998886250982321
38	AC100801.1	37.49431		1.140414454306375e-307	2.28082890861275e-304
38	SERPING1	2.8672676		0.004140327663452079	0.9999231263063209
38	FBLN1	2.5616238		0.010418412051074362	0.9999231263063209
38	RGS5	2.5590417		0.010496116725810207	0.9999231263063209
38	DIRAS3	2.4057713		0.016138365737918315	0.9999231263063209
38	SPRY1	2.0360708		0.04174325244044734	0.9999231263063209
38	TSPAN8	1.7515461		0.07985188439280105	0.9999231263063209
38	FN1	1.5594287		0.11889495395475232	0.9999231263063209
38	COL1A1	1.2331508	2.4089622	0.21751950123848107	0.9999231263063209
38	CAMP	1.1796485		0.23814003899505853	0.9999231263063209
